abat/o	abbot
seĝ/o	chair  AK
sek/a	dry
sekal/o	rye
sekc/i	dissect
sekci/o	section
sekreci/o	secretion
sekret/o	secret
sekretari/o	secretary
seks/o	sex
sekt/o	
sektor/o	
sekund/o	second (a)  AK
sekundant/o	second (in a duel)
sekur/a	safe, secure
sekv/i	follow
sel/o	saddle
selakt/o	whey
sem/o	sow
semafor/o	
semajn/o	week
seminari/o	seminary
senat/o	senate
senc/o	sense, meaning  AK
send/i	send
sens/o	sense (the five senses)
sensaci/o	
sent/i	feel, perceive
sentenc/o	sentence, judgment  AK
sentimental/a	
sepi/o	cuttle-fish
Septembr/o	September
septet/o	septet
seraf/o	
serajl/o	
serĉ/i	search
seren/a	serene
serenad/o	
serĝent/o	sergeant
seri/o	series
serioz/a	serious
serpent/o	serpent
serur/o	lock (fastening)  AK
serv/i	serve
servic/o	set of dishes, plates, etc.
servut/o	bondage  AK
sesi/o	
sever/a	severe, strict  AK
sevrug/o	sturgeon
sezon/o	season
sfer/o	sphere
sfinks/o	
sfinkter/o	sphincter
sibl/i	hiss, whizz
sid/i	sit
sieĝ/i	besiege
sifilis/o	
sifon/o	
sigel/o	seal (vb.)
sign/o	sign, token
signal/o	signal
signif/i	signify, mean
silab/o	syllable
silent/i	be silent  AK
silici/o	
silik/o	flint
silk/o	silk
silogism/o	
siluet/o	
silur/o	shad-fish
silvi/o	warbler (bird)  AK
simbol/o	symbol
simetri/o	symmetry
simfoni/o	symphony
simi/o	monkey
simil/a	like, similar
simpati/o	sympathy
simpl/a	simple
simptom/o	
sin/o	bosom, breast, lap
sinagog/o	
sinap/o	mustard-plant
sincer/a	sincere
sindikat/o	sindicate
sinedri/o	sanhedrim
singular/o	the singular
singult/i	hiccough
sinjor/o	Sir, Mr
sinkop/o	syncope
sinod/o	synod
sinonim/o	synonym
sinoptik/a	
sintaks/o	syntax
sintez/o	
siren/o	siren
Siri/o	
siring/o	lilac
sirop/o	syrup
sistem/o	system
sitel/o	bucket, pail  AK
situ/o	site, situation, position
situaci/o	situation, position  AK
skabi/o	mange, scab  AK
skadr/o	squadron
skal/o	scale (measure)  AK
skalp/o	
skan/i	
skandal/o	
skapol/o	shoulder-blade  AK
skarab/o	beetle
skarlat/o	scarlet
skarlatin/o	scarlet fever
skarp/o	scarf
skatol/o	small box, case
skeĉ/o	
skelet/o	skeleton
skem/o	scheme
skeptik/a	sceptic
skerc/o	scherzo
skerm/i	fence (vb.)  AK
ski/o	ski
skism/o	schism
skiz/o	sketch
sklav/o	slave
skol/o	school (of thought, opinion, art, etc.) (noto)
skolastik/o	
skolop/o	woodcock  AK
skolt/o	
skorbut/o	scurvy
skorpi/o	scorpion
skorzoner/o	black salsify
skrap/i	shave, scrape
skrib/i	write
skrofol/o	scrofula
skrupul/o	
sku/i	shake (trans.)  AK
skulpt/i	sculpture
skurĝ/o	scourge
skvam/o	scale (fish etc.)
sled/o	sled, sledge, sleigh
slip/o	slip, card (for index)
smerald/o	emerald
sobr/a	sober
soci/o	social body, community
social/a	
societ/o	society
sociolog/o	sociologist
sociologi/o	sociology
sod/o	soda
sof/o	sofa
Sofi/o	
sofism/o	sophism
sofist/o	sophist
soif/i	thirst
sojl/o	threshold
sokl/o	
sol/a	only, alone
sold/o	halfpenny
soldat/o	soldier
sole/o	sole (fish)
solecism/o	
solen/a	solemn
solid/o	
solidar/a	jointly liable
solist/o	soloist
solv/i	dissolve  AK
solvent/a	solvent (fin.)
somer/o	summer
somnambul/o	somnambulist
son/i	sound (intr.)  AK
sonat/o	sonata
sond/i	to sound
sonet/o	sonnet
sonĝ/i	dream
sonor/o	give out a sound (as a bell)
sopir/i	long for, yearn  AK
sopran/o	soprano, treble  AK
sorb/i	absorb, sip  AK
sorĉ/i	practise witchcraft  AK
sorg/o	sorghum
sorik/o	shrew-mouse
sorp/o	sorb (sorb-apple)  AK
sort/o	fate, lot
sortiment/o	assortment
sovaĝ/a	wild, savage
spac/o	room, space
spad/o	sword
spalir/o	espalier
spasm/o	
spat/o	spar (min.)  AK
spec/o	kind, species
special/a	special
specif/i	
specimen/o	specimen
spegul/o	looking-glass
spekt/i	
spektakl/o	spectacle
spektr/o	
spekulaci/i	speculation
spekulativ/a	speculative
sperm/o	
spert/a	experienced  AK
spez/i	turnover (money), exchange  AK
spic/o	spice
spik/o	ear head (of corn, etc.)
spin/o	spine, back-bone
spinac/o	spinach
spion/o	spy (a)  AK
spir/i	breathe
spiral/o	spiral
spirit/o	spirit
spiritist/o	spiritist
spiritualism/o	
spiritualist/o	
spit/i	in spite of
splen/o	spleen
split/o	splinter
sponde/o	
spong/o	sponge
spontane/a	spontaneous
sport/o	sport
sprit/a	witty, quick-witted  AK
spron/o	spur
spur/o	spoor, footprint, track, trace, trail
sput/i	spit (blood, phlegm, etc.)  AK
stab/o	staff-officers
stabil/a	
stabl/o	trestle, workman’s bench  AK
staci/o	station, depot (railroad)  AK
stadi/o	stage
stadion/o	stadium
stagn/i	
stal/o	stall, shed, stable  AK
stalagmit/o	
stalaktit/o	
stamen/o	stamen (bot.)
stamp/o	stamp (with a die)  AK
stan/o	tin
standard/o	flag
stang/o	pole
star/i	stand
start/i	to start (in a race etc., intr.), 2.to start up (intr.)
stat/o	state, condition
statistik/o	statistics
statu/o	statue
statur/o	stature
statut/o	
stearin/o	stearine
steb/i	stitch (back) (vb.)  AK
Stefan/o	
stel/o	star
stenograf/i	to stenograph
stenografi/o	stenography
step/o	steppe, moor  AK
stereofoni/o	
sterk/o	dung, manure
sterled/o	sterlet (fish)
stern/i	spread out (on ground, etc.), lay  AK
stertor/o	to rattle (in the throat)  AK
stil/o	style
stimul/i	to stimulate
stip/o	feather-grass (stipa)  AK
stipendi/o	scholarship, study-allowance, bursary
stir/i	
stof/o	stofe (measure)
stoik/a	
stok/o	
stomak/o	stomach
stopl/o	stubble
strab/i	squint
strang/a	strange
strangol/i	
strat/o	street
strategi/o	
streb/i	to strive
streĉ/i	stretch, strain  AK
strek/o	make a line or stroke  AK
stri/o	stripe, band  AK
strig/o	owl
strigl/i	to curry-comb
strik/i	strike (labour)  AK
striknin/o	
strof/o	strophe, verse
struktur/o	structure
strut/o	ostrich
stud/i	study
student/o	student (of college etc.)  AK
stuk/i	stucco (vb.)  AK
stult/a	silly
stump/o	stump
stup/o	tow  AK
sturg/o	sturgeon
sturn/o	starling
subit/a	sudden
subjekt/o	subject (gram.)  AK
subjektiv/a	
subjunktiv/o	
sublimat/o	corrosive sublimate  AK
substanc/o	
substantiv/o	noun, substantive
subtil/a	subtle
subtrah/i	to subtract
subvenci/o	subvention, subsidy
suĉ/i	suck
sud/o	south
Sudan/o	
sufer/i	suffer
sufiĉ/a	sufficient
sufiks/o	suffix
suflor/o	prompter
sufok/i	suffocate (trans.)  AK
sugest/i	
sugesti/i	suggestion
suk/o	sap, juice
sukcen/o	amber
sukces/i	succeed  AK
suker/o	sugar
sulfur/o	sulphur
sulk/o	furrow
sultan/o	sultan
sum/o	sum
sun/o	sun
sup/o	soup
superlativ/o	superlative
superstiĉ/o	superstition
suplement/o	supplement
supoz/i	supose
supr/o	upper (adj.)
surd/a	deaf
surfac/o	surface
surpriz/i	surprise
surtut/o	overcoat  AK
suspekt/i	suspect
susur/i	to rustle
sutan/o	cassock
svarm/i	swarm
svat/i	act as matchmaker  AK
sved/o	
sven/i	faint, swoon  AK
sving/i	swing (trans.)  AK
ŝaf/o	sheep
ŝah/o	
ŝajn/i	seem
ŝak/o	chess
ŝakal/o	jackal
ŝal/o	shawl
ŝalm/o	reed-pipe  AK
ŝalt/i	
ŝalup/o	
ŝam/o	chamois-leather  AK
ŝanc/o	chance (possibility)
ŝancel/i	stagger, cause to totter (trans.)  AK
ŝanĝ/i	change
ŝankr/o	chancre
ŝarad/o	charade
ŝarg/i	load (a gun, etc.)
ŝarĝ/o	charge, load
ŝark/o	shark, sea-dog
ŝat/i	prize, value  AK
ŝaŭm/o	foam
ŝel/o	shell, peel, bark  AK
ŝelk/o	braces, suspenders  AK
ŝenopraz/o	
ŝerc/i	joke
ŝild/o	shield
ŝiling/o	shilling
Ŝiller/o	
ŝim/i	grow mouldy  AK
ŝind/o	shingle (roofing)  AK
ŝink/o	ham  AK
ŝip/o	ship
ŝir/i	tear, rend
ŝirm/i	protect, screen  AK
ŝlim/o	slime, mire, mud
ŝlos/i	lock, fasten
ŝmac/i	kiss loudly (with a smack)  AK
ŝmir/i	spread, smear  AK
ŝnur/o	string
ŝofor/o	chauffeur
ŝok/i	
ŝose/o	high road, made road
ŝov/i	thrust, shove  AK
ŝovel/i	shovel  AK
ŝovinism/o	chauvinism
ŝovinist/o	ultra-patriot
ŝpar/i	save, be sparing of  AK
ŝpat/o	spade
ŝpin/i	spin
ŝpruc/i	spirt, gush (intr.)  AK
ŝrank/o	cupboard
ŝrapnel/o	
ŝraŭb/o	screw
ŝrump/i	to shrivel, to shrink
ŝtal/o	steet
ŝtat/o	State
ŝtel/i	steal
ŝtip/o	block, log
ŝtof/o	stuff  AK
ŝton/o	stone
ŝtop/i	stop up, bung up  AK
ŝtorm/o	
ŝtrump/o	stocking
ŝtup/o	tow (subst.)  AK
ŝu/o	shoe
ŝuld/i	owe
ŝultr/o	shoulder  AK
ŝut/i	pour out (solids)  AK
ŝveb/i	to hover
ŝvel/i	swell
ŝvit/o	perspire
tabak/o	tobacco
taban/o	gad-fly
tabel/o	table, index
tabl/o	table
tabul/o	board, plank, tablet  AK
taburet/o	
taĉment/o	detachment (troops)  AK
taft/o	taffeta (material)  AK
tag/o	day
tajl/i	to cut, cut to shape; to form
tajlor/o	tailor
tajp/i	to type, to typewrite
taks/i	tax, appraise
taksi/o	
taksus/o	yew-tree
takt/o	tact
taktik/o	tactics
talent/o	talent
taler/o	thaler
tali/o	figure, waist, stature  AK
talisman/o	
talk/o	
talmud/o	
talp/o	mole (animal)
tambur/o	drum
tamburin/o	
tamtam/o	
tan/i	tan
tandem/o	
tangent/o	
tanin/o	tannin
tank/o	
tapet/o	wall-paper, paper-hangings  AK
tapiok/o	tapioca
tapir/o	
tapiŝ/o	carpet
tarantel/o	
tarantul/o	
tarif/o	tariff
tarok/o	
tas/o	cup
task/o	task
tatu/i	tatoo
taŭg/a	be fit for
tavol/o	layer, stratum  AK
te/o	tea
teatr/o	theatre
ted/i	bore, weary, annoy  AK
teg/i	cover (wholly) (vb.)  AK
tegment/o	roof
tegol/o	tile
teĥnik/o	technical
teism/o	
teist/o	
teknik/o	technical
teks/i	weave
tekst/o	text
telefon/o	telephone
telegraf/o	telegraph
telegram/o	telegram
telepati/o	
teler/o	plate
teleskop/o	
televid/i	to watch television
tem/o	theme, topic  AK
temp/o	time
temperament/o	temperament
temperatur/o	temperature
tempest/o	tempest
tempi/o	temple (of forehead)
templ/o	temple
ten/i	hold, grasp
tend/o	tent  AK
tenden/o	tendon
tendenc/o	tendency
tener/a	tender
teni/o	tape-worm
tenis/o	
tenor/o	tenor
tent/i	tempt  AK
Teodor/o	
teokrat/o	
teokrati/o	
teolog/o	theologian
teologi/o	theology
teorem/o	
teori/o	theory
ter/o	earth
terapi/o	therapeutics
teras/o	terrace
tercet/o	trio
terebint/o	turpentine
teren/o	ground, piece of land, terrain
teritori/o	
termin/o	term, technical name  AK
termit/oj	termite
termometr/o	thermometer
tern/i	sneeze
terur/o	terror, horror, fright  AK
test/o	
testament/o	will, testament  AK
testik/o	testicle
testud/o	tortoise
tetan/o	tetanus
tetr/o	grouse
tetra/o	hazel-hen
tez/o	thesis, proposition  AK
tiar/o	
tibi/o	shin bone
tif/o	typhus
tig/o	stem, stalk (of plant)
tigr/o	tiger
tikl/i	tickle
tili/o	lime-tree
tim/i	fear
timian/o	thyme
timon/o	shaft, pole  AK
tindr/o	tinder
tine/o	moth
tink/o	tench
tinktur/o	
tint/i	chink, clank, jingle
tip/o	type
tipograf/o	
tipografi/o	typography
tir/i	draw, pull, drag
tiran/o	tyrant
titan/o	Titan
titol/o	title
tog/o	
tol/o	linen (mat.)  AK
toler/i	tolerate
tomat/o	tomato
tomb/o	tomb, grave  AK
tombak/o	pinchbeck
ton/o	tone, sound
tond/i	clip, shear
tondr/o	thunder
tonel/o	ton (displacement)
tonsil/o	
tonsur/o	tonsure
topaz/o	topaz
topograf/o	
topografi/o	
torĉ/o	torch
tord/i	wind, twist
toreador/o	
torent/o	torrent
torf/o	peat, turf  AK
torn/i	turn (on a lathe)
tornistr/o	knapsack
torped/o	torpedo
tors/o	
tort/o	tart
tortur/i	
tost/o	toast
trab/o	beam (of wood)
tradici/o	tradition
traduk/i	translate
traf/i	hit the mark  AK
trafik/o	traffic
tragedi/o	tragedy
tragik/a	tragic
tragikomedi/o	tragi-comedy
traĥe/o	wind-pipe
trajn/o	1/2/3train
trajt/o	lineament, feature  AK
trakt/i	transact, treat of (a subject)  AK
traktat/o	treaty, treatise
traktor/o	tractor
tram/o	tram (rail); tram/veturil/o = tramcar; tram/voj/o = tramway
tranĉ/i	cut
trankvil/a	tranquil, quiet  AK
transept/o	
transistor/o	
transit/o	transit
transitiv/a	
trapez/o	
tref/o	clubs (at cards)  AK
trejn/i	to train
trem/i	tremble
tremol/o	aspen  AK
tremp/i	dip, steep
tren/i	drag, trail
tret/i	
trezor/o	treasure
trib/o	
tribun/o	orator’s pulpit
tribunal/o	tribunal
tribut/o	tribute
trigonometri/o	
trik/i	knit
trikot/o	stockinet (mat. for tights, jerseys, etc.)  AK
tril/o	trill
trink/i	drink
trip/o	tripe  AK
tritik/o	wheat
triumf/o	triumph
trivial/a	trivial
trofe/o	
trog/o	trough
tromb/o	water-spout
trombon/o	trombone
tromp/i	deceive, cheat
tron/o	throne
trop/o	
tropik/o	tropic
trot/i	trot
trotuar/o	pavement  AK
trov/i	find
tru/o	hole
trud/i	press upon, obtrude
truf/o	truffle
trul/o	trowel
trumpet/o	trumpet
trunk/o	trunk, stem
trup/o	troop
trust/o	
trut/o	trout
tualet/o	toilet
tub/o	tube
tuber/o	tuber, bump, swelling  AK
tuberkul/o	tubercle
tuberkuloz/o	tuberculosis
tuf/o	tuft
tuk/o	a cloth  AK
tukan/o	
tul/o	tulle
tulip/o	tulip
tumor/o	
tumult/o	tumult
tun/o	metric ton, tonne
tunel/o	tunnel
tunik/o	
Tunizi/o	
tur/o	tower
turb/o	whipping top
turban/o	turban
turbin/o	
turd/o	thrush
turism/o	touring
turist/o	tourist
turk/o	
turkis/o	turquoise
turment/i	torment
turn/i	turn (trans.)  AK
turnir/o	tournament  AK
turt/o	turtle-dove
tus/i	cough
tuŝ/i	touch
tut/a	whole, entire, total  AK
ukaz/o	
ulan/o	
ulcer/o	ulcer
ulm/o	elm
uln/o	ell (cloth measure)  AK
ultimat/o	
umbilik/o	navel
unc/o	ounce
ung/o	nail (finger)
uni/o	
uniform/o	uniform (dress)  AK
unik/a	unique
unison/o	unison
univers/o	universe
universal/a	universal
universitat/o	university
ur/o	ure-ox, wid-bull
uragan/o	hurricane
urb/o	town
urĝ/i	be urgent
urin/i	piss
urn/o	urn
urogal/o	wild cock
urs/o	bear (animal)
urtik/o	nettle
Urugvaj/o	
Uson/o	
uter/o	matrix (anat.), uterus  AK
util/a	useful  AK
utopi/o	utopia
uvertur/o	overture
uz/i	use, employ (vb.)  AK
uzur/o	usury
uzurp/i	usurp
vad/i	to wade, paddle
vafl/o	wafer (cake)  AK
vag/i	rove, wander about  AK
vagin/o	
vagon/o	carriage (railway)  AK
vak/i	be vacant
vakcin/o	vaccine
vakcini/o	vaccinium (vitisidaea)  AK
vaks/o	wax
vaku/o	
val/o	valley
valid/a	valid
valiz/o	valise
valor/o	be worth
vals/o	waltz
valut/o	
vampir/o	vampire
van/a	futile, vain  AK
vand/o	
vanel/o	lapwing
vang/o	cheek  AK
vanil/o	vanilla (spice)  AK
vant/a	frivolous, vain, empty  AK
vapor/o	vapour, steam  AK
var/o	wares, goods, commodities (noto)
varb/i	enlist, enrol  AK
vari/i	to vary
variant/o	
variol/o	smallpox
varm/a	warm
Varsovi/o	
vart/i	nurse, tend (children)  AK
vasal/o	vassal
vast/a	wide, vast
Vaŝington	
vat/o	wadding  AK
vaz/o	vessel, vase  AK
vazelin/o	
veget/i	vegetate
vegetal/o	plant (as opposed to animal)
vegetar/a	
vejn/o	vein
vek/i	wake, arouse (trans.)  AK
vekt/o	beam (of scales, balances, etc.)  AK
vel/o	sail (subst.)
velen/o	vellum
velk/i	fade
velociped/o	velocipede
velur/o	velvet
ven/i	come
vend/i	sell
vendred/o	Friday
venen/o	poison
Venezuel/o	
venĝ/i	take revenge, avenge  AK
venk/i	conquer
vent/o	wind (subst.)  AK
ventol/i	ventilate
ventr/o	belly
ver/a	truth  AK
verand/o	veranda
verb/o	verb
verben/o	vervain
verd/a	green
verdigr/o	verdigris
verdikt/o	verdict
verg/o	rod
verk/o	work (literary)
verm/o	worm
vermiĉel/o	vermicelli
vermut/o	
vers/o	verse
versi/o	
verst/o	verst
verŝ/i	pour
vert/o	top (of head), pate  AK
vertebr/o	vertebra  AK
vertic/o	vertex, apex (of an angle)
vertikal/o	vertical
veruk/o	wart
verv/o	animation
vesp/o	wasp
vesper/o	evening
vespert/oj	bat
vest/o	clothe
vestibl/o	lobby, vestibule  AK
veŝt/o	waistcoat  AK
vet/i	bet, wager
veter/o	weather
veteran/o	veteran
veterinar/o	veterinary
vetur/i	journey, travel
vezik/o	blister, bladder
vezir/o	visier
viadukt/o	
viand/o	meat, flesh
vibr/i	vibrate
viburn/o	guelder-rose, viburnum  AK
vic/o	row, rank
vid/i	see
vidv/o	widower
vigl/a	alert, spirited  AK
vikari/o	vicar, deputy  AK
viktim/o	victim
vil/a	rag, tuft
vilaĝ/o	village
Vilhelm/o	
vin/o	wine  AK
vinagr/o	vinegar
vind/o	swaddle, swathe  AK
vinjet/o	vignette
vink/o	periwinkle (bot.)
vinkt/o	rivet
vintr/o	winter
viol/o	violet (flower)  AK
violon/o	violin
violonĉel/o	violoncello
vip/o	whip
viper/o	viper
vipur/o	viper
vir/o	man, male  AK
virg/a	virginal
virt/o	virtue
virtual/a	
virtuoz/o	virtuoso
virus/o	
visk/o	mistletoe
viski/o	
vist/o	whist
viŝ/i	wipe
vit/o	vine
vitamin/o	
vitr/o	glass (substance)
vitriol/o	vitriol
viv/i	live
vivisekci/o	vivisection
viz/o	visa
vizaĝ/o	face
vizi/o	vision
vizier/o	visor
vizit/i	visit
voĉ/o	voice
vodk/o	
voj/o	way, road
vojaĝ/i	voyage
vok/i	call
vokal/o	vowel
vokativ/o	
vol/i	wish, will
volont/a	willingly
volum/o	volume
volumen/o	volume (geom.)
volupt/o	sensual pleasure
volv/i	wind, wrap round (trans.)  AK
vom/i	vomit
vort/o	word
vost/o	tail
vual/o	veil
vulgar/a	vulgar, common
vulkan/o	volcano  AK
vulp/o	fox
vultur/o	vulture  AK
vulv/o	
vund/o	wound
Zamenhof	
zebr/o	zebra
zefir/o	zephyr
zenit/o	zenith
zibel/o	sable
zigzag/o	zigzag
zingibr/o	ginger
zink/o	zinc
zip/o	
zizel/o	zizel (zool.)  AK
zodiak/o	zodiac
zon/o	belt, girdle  AK
zoolog/o	
zoologi/o	zoology
zorg/i	look after, see to  AK
zuav/o	zouave
zum/i	hum, buzz
